Titulo,TIP,TIPO DE TIP
Apaga la computadora,5. Apaga la computadora si no lo estás usando: mientras está hibernando gasta el 70% de su consumo diario.,Luz
Cierra bien la nevera ,"Asegúrate de que la puerta de tu nevera cierre correctamente y mantenla abierta el menor tiempo posible. Además, fíjate de ubicarla lejos del horno.",Luz
Apaga bien la televisión,"	No dejes el televisor en ""stand by"" (esa función que te permite prenderlo o apagarlo con el control remoto) ya que no sólo le produce un desgaste al equipo sino que además consume energía innecesariamente. Enciéndelo sólo cuando vayas a verlo (se ha comprobado que el 40% del tiempo en que la tele está encendida no se está viendo)",Luz
Ten en cuenta que...," El termostato del aire acondicionado detecta el calor que pudiera tener cerca, por lo que no es correcto colocarlo cerca de fuentes de calor como televisores o lámparas.",Luz
Siempre desconecta los artefactos eléctricos,	No dejes enchufados los cargadores de aparatos electrónicos a batería (como el celu o la computadora) cuando no los estés usando.,Luz
ECODAL te recomienda,Tener una computadora portátil en lugar de una tradicional de escritorio. Consumen mucha menos energía.,Luz
Si vas a comprar una televisión,"Si vas a comprar un televisor HD, opta por un modelo LCD . Consume un 50% menos de energía que los de pantalla de plasma",Luz
ECODAL te recomienda,"Cambiar el auto por el medio de transporte público . Usa más el subte, tren o colectivo, y si es posible, anímate a la bicicleta.",Transporte
ECODAL te recomienda,Elegí pilas recargables .,Luz
ECODAL te recomienda,"Si estás por comprar algún electrodoméstico nuevo, es conveniente que te informes de cuáles son los que cuentan con consumo eficiente de energía (hoy en día hay muchos y en gran variedad de precios) y cuáles generan menos daño al medio ambiente",Luz
ECODAL te recomienda,"Descongela los alimentos dejándolos en la nevera, nunca bajo el grifo. Ahorrarás 22 litros por alimento
",Luz
No utilices el inodoro como papelera,"
- No utilices el inodoro como papelera. No tires nunca papeles, plásticos, cigarrillos, compresas, preservativos, etc., esto puede ahorrar hasta 55 litros por día",Agua
Fíjate en el cabezal de la ducha,"- El cabezal eficiente de la ducha produce un chorro abundante y suave. Mezcla aire con agua consumiendo aproximadamente la mitad del agua. Supone un ahorro del 50% o incluso, superior.",Agua
Sabías que...,"El inodoro es el lugar donde más  agua se consume de toda la casa. Puedes ahorrar mucha agua colocando una o dos botellas llenas en el interior de la cisterna. También colocando un mecanismo de doble descarga que disponga de dos pulsadores. Uno de ellos descarga 3 litros y el otro hace la descarga total, unos 10 litros.",Agua
ECODAL te recomienda,"Utiliza la lavadora y el lavaplatos solamente cuando estén llenos y podrás ahorrar hasta 3.700 litros al mes

",Agua
ECODAL te recomienda,Aprovecha la primavera y el otoño para plantar el césped y las plantas del jardín. En estas estaciones las necesidades de riego son menores. ,Agua
Si te gusta el agua fria ,Si te gusta el agua fría mete una jarra en la nevera en lugar para no dejar corriendo el agua de la llave hasta que salga fresca.,Agua
ECODAL te recomienda," Reduce al mínimo la evaporación regando las plantas durante las primeras horas de la mañana, cuando la temperatura es más fresca. Utiliza una capa de guijarros alrededor de las plantas para reducir la evaporación y ahorrar centenares de litros de agua al año. 

",
ECODAL te recomienda,Usa una escoba en lugar de una manguera para limpiar la acera o calle. Así ahorrarás 300 litros de agua cada vez que lo hagas,Agua
ECODAL te recomienda,"Riega solamente el césped cuando lo necesite. Si camina por el césped y dejas huellas, ha llegado la hora de regar de nuevo.",Agua
Si tienes peces en casa...,"Cuando limpies la pecera reutiliza el agua para regar las plantas, es rica en nitrógeno y fósforo. Mientras riegas, abonas y fertilzas. ",Agua
ECODAL te recomienda,Utiliza un sólo vaso para el consumo de agua diario. Esto reducirá el número de ocasiones en la que pones en marcha el lavaplatos. ,Agua
Si la cisterna de tu inodoro es antigua,Si la cisterna de tu inodoro es antigua introduce una botella llena de agua y asegúrate de que no interfiera en el sistema de funcionamiento. Reducirás el consumo cada vez que lo uses. ,Agua
ECODAL te recomienda,"Cocina los alimentos con la menor cantidad de agua posible, además de ahorrar conservará la mayor parte de los nutrientes. 

",Agua
Para cocinar,"
. Elige la olla adecuada para cada guiso y cantidad de alimento. Ahorrarás agua y energía. 

",Agua
Si te afeitas ,.Cierra el grifo mientras te afeitas. Para limpiar la cuchilla llena el lavabo con agua. Así ahorrarás casi 400 litros a la semana.,Agua
Si tienes mascotas,Si cambias el agua a tus mascotas reutilízala para regar las plantas. - ,Agua
